"Trial","Variable","type","Mean","Sd","Error","p"
2,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00172641634712956,0.0435666349675726,0.00129960413222835,"< 0.05"
3,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00188841275120032,0.044401781961566,0.00132451678580418,"< 0.05"
4,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",9.88622532090452e-05,0.0439063434853243,0.00130973772629068,"> 0.05"
5,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-2.6633158650238e-05,0.0437077637827404,0.00130381404174982,"> 0.05"
6,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00118431158088803,0.0429705624411895,0.00128182313264066,"> 0.05"
7,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",8.66498210251125e-04,0.0432477351434315,0.00129009126694671,"> 0.05"
8,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",1.63193183930399e-05,0.042849490511933,0.0012782115252793,"> 0.05"
9,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00152388114613019,0.0434124624679302,0.00129500512618254,"< 0.05"
10,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",1.27596232732474e-04,0.0430645364515587,0.00128462640198402,"> 0.05"
11,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-9.01597076578853e-04,0.0435625511532637,0.00129948231097786,"> 0.05"
12,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.0010755491466337,0.0434498025666732,0.00129611899110831,"> 0.05"
13,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-2.67534681166094e-04,0.0436206566964922,0.0013012156145516,"> 0.05"
14,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.65275652683161e-04,0.0431439440720495,0.00128699515210202,"> 0.05"
15,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.15404639213549e-04,0.0431199615898517,0.00128627974837647,"> 0.05"
16,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.23280422276177e-05,0.0435946951371442,0.0013004411744363,"> 0.05"
17,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-6.09316839213211e-04,0.0433305921455307,0.00129256291302156,"> 0.05"
18,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-2.23927129826235e-04,0.0425918455310524,0.00127052590801623,"> 0.05"
19,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.07882875577491e-04,0.0430915313645946,0.00128543166731049,"> 0.05"
20,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00174977346051259,0.0428957079164379,0.00127959020256112,"< 0.05"
21,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",2.14663374710132e-04,0.0432571841261696,0.0012903731325767,"> 0.05"
22,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",1.14242629991244e-05,0.0430487239416084,0.00128415471067052,"> 0.05"
23,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",3.97616172514865e-04,0.0434289637127725,0.00129549736263826,"> 0.05"
24,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-2.57322790377204e-05,0.0425651542650201,0.00126972970055941,"> 0.05"
25,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",4.99983343731646e-04,0.0433550093016763,0.00129329128318483,"> 0.05"
26,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.36042282846245e-04,0.0428301678206972,0.00127763512433866,"> 0.05"
27,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",9.48484169574828e-04,0.0426949183810311,0.00127360059812835,"> 0.05"
28,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.29678610523906e-04,0.0423625394404141,0.00126368564727173,"> 0.05"
29,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",2.93026972060498e-04,0.0423037095203199,0.00126193073534636,"> 0.05"
30,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.33064535992743e-04,0.0419753095812273,0.00125213447914741,"> 0.05"
31,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-6.16324543648565e-04,0.042303866228281,0.00126193540998589,"> 0.05"
32,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",1.9231121841631e-04,0.0434078774682799,0.00129486835444205,"> 0.05"
33,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.48970238993629e-04,0.0420586593016552,0.00125462082313907,"> 0.05"
34,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-7.80773433812302e-04,0.0426893433977674,0.00127343429491737,"> 0.05"
35,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.0011068858374498,0.0425069409417613,0.00126799318187914,"> 0.05"
36,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",3.08359055988397e-04,0.0426672944465443,0.00127277656892724,"> 0.05"
37,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-7.70807866835262e-04,0.0428692481896711,0.00127880090198123,"> 0.05"
38,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.0012541426457883,0.0425940144808816,0.00127059060835774,"> 0.05"
39,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-8.45072333890792e-04,0.0430944190500946,0.00128551780772531,"> 0.05"
40,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-2.02473575042901e-04,0.041716060068049,0.00124440099826564,"> 0.05"
41,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",9.15103488921398e-04,0.0430107537412031,0.00128302204964713,"> 0.05"
42,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.0014485995964166,0.0427189919015388,0.00127431871755053,"< 0.05"
43,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-9.60031800435686e-04,0.042433949594346,0.00126581583086755,"> 0.05"
44,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.4385521390358e-04,0.0430265098553707,0.00128349205865965,"> 0.05"
45,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-6.82860882227813e-04,0.0422517968109974,0.00126038216563009,"> 0.05"
46,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00140029983428502,0.0424098362924243,0.00126509652475538,"< 0.05"
47,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",2.59485279355724e-04,0.042196844115026,0.00125874291231583,"> 0.05"
48,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.93301347422685e-04,0.0423561703280817,0.00126349565498264,"> 0.05"
49,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",5.56576170458343e-04,0.0413302172761047,0.00123289120672048,"> 0.05"
50,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.52833626931618e-04,0.0417674946200938,0.00124593530442508,"> 0.05"
51,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.44308060458519e-04,0.0420707234134451,0.00125498069875364,"> 0.05"
52,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-6.95938459212895e-04,0.04158888683801,0.00124060738750387,"> 0.05"
53,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-9.77471463526971e-04,0.042190689225817,0.00125855931035862,"> 0.05"
54,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.17060403706192e-04,0.0419874764200166,0.00125249741913529,"> 0.05"
55,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.5297406162302e-05,0.0419311605382138,0.00125081750163063,"> 0.05"
56,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.73558625430473e-04,0.0416236741851693,0.00124164510318127,"> 0.05"
57,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00134263732683484,0.041106996082613,0.00122623246005164,"< 0.05"
58,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-7.56589022020349e-04,0.0412629669875378,0.00123088511299806,"> 0.05"
59,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-9.66967340160517e-04,0.04220551484249,0.00125900156238715,"> 0.05"
60,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.0011619519609368,0.0412164553306641,0.001229497658091,"> 0.05"
61,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",3.90446037576623e-04,0.0419151812788654,0.00125034083613892,"> 0.05"
62,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.74605610834325e-04,0.0420584977193868,0.00125461600309768,"> 0.05"
63,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-6.56343585257756e-04,0.0420149881084639,0.00125331810000764,"> 0.05"
64,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.84142654526344e-04,0.0417359316863248,0.00124499377384367,"> 0.05"
65,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.0012722895996254,0.041344557728289,0.00123331898616524,"< 0.05"
66,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",3.42872761987839e-04,0.0405641002880741,0.00121003773630312,"> 0.05"
67,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.88592423473849e-04,0.0418592715722236,0.0012486730349457,"> 0.05"
68,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.99933002376513e-04,0.0421383972133197,0.00125699942592929,"> 0.05"
69,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00160422849988665,0.041501850219794,0.00123801106238551,"< 0.05"
70,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-6.86763612387186e-04,0.0411177103167185,0.00122655206846132,"> 0.05"
71,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",2.27880989791846e-04,0.0415995744146684,0.00124092620071492,"> 0.05"
72,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-4.2156690970837e-04,0.0411248877275949,0.0012267661725077,"> 0.05"
73,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",4.00835012998763e-04,0.0413696805161147,0.00123406840550634,"> 0.05"
74,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",4.06490762317899e-04,0.0410807502694865,0.00122544954057167,"> 0.05"
75,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-7.10462056032198e-04,0.0417815372386303,0.00124635419941413,"> 0.05"
76,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",6.52950259042128e-04,0.041482455857177,0.00123743252346879,"> 0.05"
77,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00111672873136235,0.0414431985065104,0.00123626146641597,"> 0.05"
78,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-2.72187617360385e-04,0.0406206717567694,0.00121172527803173,"> 0.05"
79,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",2.15681292039156e-04,0.0403393852034971,0.00120333442647193,"> 0.05"
80,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.79350229807325e-04,0.0410175150087956,0.00122356321618243,"> 0.05"
81,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-9.86350210225443e-04,0.0408323986214946,0.00121804114586282,"> 0.05"
82,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.84497075862389e-04,0.0412585301196229,0.00123075276006604,"> 0.05"
83,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.1187930569046e-05,0.0401240985900955,0.00119691237040543,"> 0.05"
84,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",5.20408404406467e-04,0.0409909983540179,0.00122277221742506,"> 0.05"
85,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-1.6079489675979e-04,0.0402215476788317,0.00119981930224669,"> 0.05"
86,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",3.05048737869091e-04,0.0403084876070481,0.00120241274307703,"> 0.05"
87,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-7.35166316842115e-04,0.040975673768418,0.00122231508102274,"> 0.05"
88,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-6.95090160007178e-04,0.0409817668922328,0.00122249684050207,"> 0.05"
89,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",6.40090214374787e-04,0.0402065029793434,0.00119937051492038,"> 0.05"
90,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00105409082468872,0.039801767018629,0.00118729713520223,"> 0.05"
91,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-4.62244656965098e-04,0.0405176265734246,0.00120865141322255,"> 0.05"
92,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.96862990275759e-04,0.040898551526293,0.00122001450433999,"> 0.05"
93,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-3.01266994569555e-04,0.0404771927790034,0.00120744526254439,"> 0.05"
94,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-4.42331849700839e-05,0.0405430506724226,0.00120940982075484,"> 0.05"
95,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-5.31958518797464e-04,0.0404078369882741,0.00120537636114099,"> 0.05"
96,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",2.63666641002501e-04,0.0400101900041676,0.00119351444745182,"> 0.05"
97,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-4.97146057321641e-04,0.0402055161898616,0.00119934107873168,"> 0.05"
98,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",4.26097398550102e-04,0.0400513760239423,0.0011947430372093,"> 0.05"
99,"diff_acf_Stimulus","glaze_no_osc_reset_rebound_zeta",-0.00105525587385442,0.0401998975148348,0.00119917347218396,"> 0.05"
2,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00457997911623344,0.0453074286127681,0.0013515324626201,"< 0.05"
3,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.80918272503038e-04,0.0435207747908064,0.00129823611114353,"> 0.05"
4,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",5.17393205397773e-04,0.0427526910176514,0.00127532397101077,"> 0.05"
5,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00139102276734425,0.0438457148011526,0.00130792915676173,"< 0.05"
6,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",7.9812888043429e-04,0.0439324273511082,0.001310515814839,"> 0.05"
7,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.06233324945133e-04,0.0429554422001491,0.00128137209189007,"> 0.05"
8,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.85240651071938e-04,0.0439065085842591,0.00130974265123515,"> 0.05"
9,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00111530049052455,0.0443986224132295,0.00132442253564974,"> 0.05"
10,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00113212672849285,0.0432092077130401,0.00128894198360688,"> 0.05"
11,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-5.41759793038008e-04,0.043424672131106,0.00129536934363308,"> 0.05"
12,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-9.00270029807605e-04,0.0429557003996903,0.00128137979405001,"> 0.05"
13,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",7.06051769083685e-04,0.0439765744567411,0.00131183273456322,"> 0.05"
14,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-9.36297593372394e-05,0.0429876032219194,0.00128233146359322,"> 0.05"
15,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",4.07380167066899e-06,0.0437296425810612,0.00130446669203431,"> 0.05"
16,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.43900644443737e-04,0.0439604737536711,0.00131135244637348,"> 0.05"
17,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.60975225128541e-04,0.0427913316970751,0.0012764766325989,"> 0.05"
18,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.4366766638313e-04,0.0426098432821296,0.00127106278564491,"> 0.05"
19,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.66812736416647e-04,0.0433830975154819,0.00129412916195962,"> 0.05"
20,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.22471782485026e-04,0.0433316197320511,0.00129259356619662,"> 0.05"
21,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00122407976097824,0.0433312870501895,0.00129258364220955,"> 0.05"
22,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.0167722786814e-04,0.0433031841864778,0.00129174532642421,"> 0.05"
23,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.85992407004563e-04,0.0432826222133871,0.00129113195738125,"> 0.05"
24,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-5.26996212939595e-05,0.0430419795546847,0.00128395352384207,"> 0.05"
25,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-4.93469286874668e-04,0.0429994887595692,0.00128268601229442,"> 0.05"
26,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",4.21928980193514e-04,0.0431547722327741,0.00128731815897259,"> 0.05"
27,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",7.5451032588628e-06,0.0431487734940589,0.0012871392150255,"> 0.05"
28,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.22997295859992e-04,0.0434217543926047,0.00129528230672936,"> 0.05"
29,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.04830600710901e-04,0.0425353758351003,0.00126884140219522,"> 0.05"
30,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",5.73304669964421e-04,0.0427953175867712,0.00127659553273253,"> 0.05"
31,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.78740484147242e-04,0.0431075915961675,0.00128591074822487,"> 0.05"
32,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",5.65465490393237e-04,0.0422403940605754,0.00126004201859835,"> 0.05"
33,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.8829403350354e-04,0.0425508027730961,0.00126930159179632,"> 0.05"
34,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",9.47849835752528e-04,0.0423829599048476,0.0012642947950744,"> 0.05"
35,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.94194539609836e-04,0.0430547359480315,0.00128433405039681,"> 0.05"
36,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.05863994871038e-04,0.0425718438889372,0.00126992925379303,"> 0.05"
37,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.36631398197127e-04,0.0427924377734838,0.00127650962714788,"> 0.05"
38,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.16620692955362e-04,0.0420065371934687,0.00125306600699984,"> 0.05"
39,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",3.12646386206857e-04,0.0420026441587999,0.00125294987675599,"> 0.05"
40,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00103241521307302,0.0423053353007658,0.00126197923280289,"> 0.05"
41,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",1.74264479315087e-04,0.0419479419349588,0.00125131809509098,"> 0.05"
42,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",1.05944571670555e-04,0.043015890891823,0.00128317529219566,"> 0.05"
43,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",6.83384241117811e-05,0.0426373912430161,0.00127188454853363,"> 0.05"
44,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-3.60809954365873e-04,0.0421934602859898,0.00125864197180938,"> 0.05"
45,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-2.56481339290008e-05,0.0418760963539982,0.00124917492259285,"> 0.05"
46,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",8.54164771621047e-04,0.0421719849045825,0.00125800135555708,"> 0.05"
47,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",5.02229032644229e-04,0.0421391530016916,0.00125702197129438,"> 0.05"
48,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00161601562705325,0.041894020555414,0.00124970960621586,"< 0.05"
49,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00100927410122163,0.0415383146318286,0.0012390988053474,"> 0.05"
50,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",1.64266286142702e-04,0.0420934578482737,0.00125565887289927,"> 0.05"
51,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-4.51580887835811e-04,0.0411635374257432,0.00122791910312674,"> 0.05"
52,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-6.33972922162082e-04,0.042251365430225,0.00126036929742866,"> 0.05"
53,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00107612198533351,0.0416489448848047,0.00124239893477039,"> 0.05"
54,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.80430545850604e-04,0.0427197817820671,0.00127434227989358,"> 0.05"
55,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",7.96170024563029e-04,0.0419401400853438,0.00125108536387348,"> 0.05"
56,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",3.00091133368692e-04,0.0419715075883528,0.00125202106470413,"> 0.05"
57,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",8.39507592359343e-04,0.0412593495814661,0.00123077720482746,"> 0.05"
58,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00127828336856696,0.0423014695919445,0.00126186391769623,"< 0.05"
59,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",4.36057453133166e-04,0.0406437288201797,0.00121241307627246,"> 0.05"
60,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",0.00135484971037531,0.0415035549914825,0.0012380619161715,"< 0.05"
61,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-8.67103508116341e-04,0.042110141074591,0.00125615653791005,"> 0.05"
62,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00100333566942547,0.0415872197698327,0.00124055765842349,"> 0.05"
63,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",2.14721316833075e-05,0.0418469850175991,0.00124830652380311,"> 0.05"
64,"diff_acf_History","glaze_no_osc_reset_rebound_zeta",-0.00174451676744645,0.0415070110150385,0.00123816501025939,"< 0.05"
