"Trial","Variable","type","Mean","Sd","Error","p"
2,"diff_acf_Stimulus","glaze_no_osc",-0.00285903508756573,0.0411453019321321,0.00122737513357601,"< 0.05"
3,"diff_acf_Stimulus","glaze_no_osc",-5.48706596205e-04,0.0417530999470478,0.00124550590755781,"> 0.05"
4,"diff_acf_Stimulus","glaze_no_osc",-8.45080457286821e-04,0.0416016607230157,0.00124098843583937,"> 0.05"
5,"diff_acf_Stimulus","glaze_no_osc",-0.00124814412398404,0.0417398756434317,0.00124511142311718,"> 0.05"
6,"diff_acf_Stimulus","glaze_no_osc",-7.40525441023341e-04,0.0408446217758796,0.00121840576575966,"> 0.05"
7,"diff_acf_Stimulus","glaze_no_osc",4.57461622837232e-04,0.0414188934359992,0.00123553643979654,"> 0.05"
8,"diff_acf_Stimulus","glaze_no_osc",3.42010537259726e-04,0.0414715051923907,0.00123710586226998,"> 0.05"
9,"diff_acf_Stimulus","glaze_no_osc",-2.98501688432984e-04,0.0415158279263137,0.00123842802103208,"> 0.05"
10,"diff_acf_Stimulus","glaze_no_osc",6.60671896469193e-04,0.0418844867181202,0.00124942520935225,"> 0.05"
11,"diff_acf_Stimulus","glaze_no_osc",-2.951470747871e-04,0.0411012544890707,0.00122606118681241,"> 0.05"
12,"diff_acf_Stimulus","glaze_no_osc",-3.48122877685728e-04,0.0417356012329881,0.00124498391633408,"> 0.05"
13,"diff_acf_Stimulus","glaze_no_osc",-6.92936879462914e-05,0.0419916785129176,0.00125262276866715,"> 0.05"
14,"diff_acf_Stimulus","glaze_no_osc",-7.2292063792038e-05,0.0410721315896995,0.00122519244309618,"> 0.05"
15,"diff_acf_Stimulus","glaze_no_osc",-3.81536232478543e-05,0.0422424415323349,0.00126010309521721,"> 0.05"
16,"diff_acf_Stimulus","glaze_no_osc",-2.53225591017499e-04,0.0422479469806627,0.00126026732418284,"> 0.05"
17,"diff_acf_Stimulus","glaze_no_osc",-7.85809745810836e-04,0.0411350672492467,0.00122706983030483,"> 0.05"
18,"diff_acf_Stimulus","glaze_no_osc",-9.68932477167985e-04,0.0411722995544333,0.00122818047972058,"> 0.05"
19,"diff_acf_Stimulus","glaze_no_osc",-9.97283965006206e-04,0.0412450632969086,0.00123035104121719,"> 0.05"
20,"diff_acf_Stimulus","glaze_no_osc",-3.78644271289808e-04,0.0408724983511088,0.00121923733130029,"> 0.05"
21,"diff_acf_Stimulus","glaze_no_osc",-0.00104480744605316,0.0414869697755107,0.00123756717483499,"> 0.05"
22,"diff_acf_Stimulus","glaze_no_osc",-0.00133966345264676,0.04134989014372,0.00123347805351423,"< 0.05"
23,"diff_acf_Stimulus","glaze_no_osc",-0.00112072055009579,0.0409699358622622,0.00122214391777922,"> 0.05"
24,"diff_acf_Stimulus","glaze_no_osc",-4.40492391431358e-04,0.0412376111587436,0.00123012874198383,"> 0.05"
25,"diff_acf_Stimulus","glaze_no_osc",-8.84087187786879e-04,0.0412138291285438,0.00122941931779389,"> 0.05"
26,"diff_acf_Stimulus","glaze_no_osc",4.80402034027259e-04,0.0408836520993536,0.00121957005053187,"> 0.05"
27,"diff_acf_Stimulus","glaze_no_osc",1.83561153244754e-04,0.0414838285796426,0.00123747347213949,"> 0.05"
28,"diff_acf_Stimulus","glaze_no_osc",-0.00186371807657714,0.0404535001466098,0.00120673850511442,"< 0.05"
29,"diff_acf_Stimulus","glaze_no_osc",-8.98024026796707e-04,0.0407864496833949,0.00121667047700418,"> 0.05"
30,"diff_acf_Stimulus","glaze_no_osc",-8.05134809743772e-04,0.0403927938390293,0.00120492762005885,"> 0.05"
31,"diff_acf_Stimulus","glaze_no_osc",4.25105478382988e-04,0.0404358583892483,0.00120621224687152,"> 0.05"
32,"diff_acf_Stimulus","glaze_no_osc",-2.95383586858264e-04,0.0413131999831612,0.00123238357641473,"> 0.05"
33,"diff_acf_Stimulus","glaze_no_osc",1.85970815798466e-04,0.0407718193897688,0.00121623405151329,"> 0.05"
34,"diff_acf_Stimulus","glaze_no_osc",-6.77101795489528e-04,0.040718349199794,0.00121463902174122,"> 0.05"
35,"diff_acf_Stimulus","glaze_no_osc",-6.73054834900464e-04,0.0401405869212865,0.00119740422164355,"> 0.05"
36,"diff_acf_Stimulus","glaze_no_osc",-7.10107450397467e-04,0.0406981593412312,0.00121403675297208,"> 0.05"
37,"diff_acf_Stimulus","glaze_no_osc",-0.00103056193833728,0.0402275994392699,0.00119999982784566,"> 0.05"
38,"diff_acf_Stimulus","glaze_no_osc",-0.00126992762442058,0.0405296465625941,0.0012090099726478,"< 0.05"
39,"diff_acf_Stimulus","glaze_no_osc",-0.00125012147862285,0.0404958564375466,0.00120800200436719,"< 0.05"
40,"diff_acf_Stimulus","glaze_no_osc",-3.6374391018043e-04,0.0403536115289674,0.00120375880148692,"> 0.05"
41,"diff_acf_Stimulus","glaze_no_osc",-4.50179020561691e-04,0.0407237788781144,0.00121480099046767,"> 0.05"
42,"diff_acf_Stimulus","glaze_no_osc",-6.79744533795031e-04,0.0407199089368026,0.00121468554910471,"> 0.05"
43,"diff_acf_Stimulus","glaze_no_osc",-2.1303541764481e-04,0.0401930585388668,0.00119896946373955,"> 0.05"
44,"diff_acf_Stimulus","glaze_no_osc",-5.71975974039858e-04,0.0402193934288289,0.00119975504040485,"> 0.05"
45,"diff_acf_Stimulus","glaze_no_osc",-0.00141963836368844,0.0400986779628084,0.00119615406643519,"< 0.05"
46,"diff_acf_Stimulus","glaze_no_osc",-8.8479592556421e-04,0.0404314345444734,0.00120608028242318,"> 0.05"
47,"diff_acf_Stimulus","glaze_no_osc",-9.15952978167554e-05,0.0401217966315901,0.00119684370238028,"> 0.05"
48,"diff_acf_Stimulus","glaze_no_osc",-2.33572941681544e-05,0.0397093652395506,0.00118454076593008,"> 0.05"
49,"diff_acf_Stimulus","glaze_no_osc",-9.07719169217767e-04,0.0396790782155544,0.00118363729607138,"> 0.05"
50,"diff_acf_Stimulus","glaze_no_osc",-7.62784399917406e-04,0.0396778484002158,0.00118360061035771,"> 0.05"
51,"diff_acf_Stimulus","glaze_no_osc",-4.78931856546387e-04,0.0399854880721866,0.0011927775823508,"> 0.05"
52,"diff_acf_Stimulus","glaze_no_osc",-0.00147351118003104,0.0401605761073736,0.00119800050430018,"< 0.05"
53,"diff_acf_Stimulus","glaze_no_osc",-1.23460502060657e-04,0.038899080499453,0.00116036975989998,"> 0.05"
54,"diff_acf_Stimulus","glaze_no_osc",-8.72455266057164e-04,0.0399435694257451,0.00119152713814795,"> 0.05"
55,"diff_acf_Stimulus","glaze_no_osc",-0.00106567764920506,0.0400307470210502,0.0011941276686498,"> 0.05"
56,"diff_acf_Stimulus","glaze_no_osc",-6.92132250971709e-04,0.0395484812532449,0.00117974155447921,"> 0.05"
57,"diff_acf_Stimulus","glaze_no_osc",-6.16284019809836e-04,0.0398715555497191,0.00118937894536393,"> 0.05"
58,"diff_acf_Stimulus","glaze_no_osc",-0.00138219373655183,0.0396059207954188,0.00118145499106705,"< 0.05"
59,"diff_acf_Stimulus","glaze_no_osc",-0.00103371372051632,0.0398139743886492,0.00118766128424733,"> 0.05"
60,"diff_acf_Stimulus","glaze_no_osc",-6.57394839892418e-04,0.0387349406435252,0.00115547342500549,"> 0.05"
61,"diff_acf_Stimulus","glaze_no_osc",-1.29943213949091e-04,0.0404377800399988,0.00120626957021674,"> 0.05"
62,"diff_acf_Stimulus","glaze_no_osc",-5.86495586336801e-04,0.0397487310253062,0.00118571505763001,"> 0.05"
