"Trial","Slider","Variable"
1,"changes",1
2,"changes",1
3,"changes",1
4,"changes",1
5,"changes",1
6,"changes",1
7,"changes",-1
8,"changes",1
9,"changes",1
10,"changes",1
11,"changes",1
12,"changes",-1
13,"changes",1
14,"changes",1
15,"changes",1
16,"changes",-1
17,"changes",1
18,"changes",1
19,"changes",1
20,"changes",1
21,"changes",1
22,"changes",1
23,"changes",1
24,"changes",1
25,"changes",1
26,"changes",1
27,"changes",1
28,"changes",1
29,"changes",1
30,"changes",1
31,"changes",1
32,"changes",1
33,"changes",1
34,"changes",1
35,"changes",1
36,"changes",-1
37,"changes",1
38,"changes",1
39,"changes",-1
40,"changes",1
41,"changes",1
42,"changes",1
43,"changes",1
44,"changes",1
45,"changes",1
46,"changes",1
47,"changes",1
48,"changes",1
49,"changes",-1
50,"changes",1
51,"changes",1
52,"changes",1
53,"changes",1
54,"changes",1
55,"changes",1
56,"changes",1
57,"changes",1
58,"changes",1
59,"changes",1
60,"changes",1
61,"changes",-1
62,"changes",1
63,"changes",1
64,"changes",1
65,"changes",1
66,"changes",1
67,"changes",1
68,"changes",1
69,"changes",-1
70,"changes",1
71,"changes",1
72,"changes",1
73,"changes",1
74,"changes",1
75,"changes",1
76,"changes",1
77,"changes",1
78,"changes",1
79,"changes",1
80,"changes",1
81,"changes",1
82,"changes",-1
83,"changes",1
84,"changes",1
85,"changes",1
86,"changes",1
87,"changes",-1
88,"changes",1
89,"changes",1
90,"changes",1
91,"changes",1
92,"changes",1
93,"changes",1
94,"changes",-1
95,"changes",1
96,"changes",-1
97,"changes",-1
98,"changes",1
99,"changes",1
100,"changes",-1
101,"changes",1
102,"changes",1
103,"changes",-1
104,"changes",1
105,"changes",1
106,"changes",1
107,"changes",1
108,"changes",1
109,"changes",1
110,"changes",1
111,"changes",1
112,"changes",-1
113,"changes",1
114,"changes",1
115,"changes",1
116,"changes",1
117,"changes",1
118,"changes",1
119,"changes",1
120,"changes",1
121,"changes",-1
122,"changes",-1
123,"changes",1
124,"changes",1
125,"changes",1
126,"changes",1
127,"changes",1
128,"changes",1
129,"changes",1
130,"changes",1
131,"changes",1
132,"changes",1
133,"changes",1
134,"changes",1
135,"changes",1
136,"changes",1
137,"changes",1
138,"changes",1
139,"changes",1
140,"changes",1
141,"changes",1
142,"changes",1
143,"changes",1
144,"changes",1
145,"changes",1
146,"changes",1
147,"changes",1
148,"changes",1
149,"changes",1
150,"changes",1
151,"changes",1
152,"changes",1
153,"changes",1
154,"changes",1
155,"changes",-1
156,"changes",-1
157,"changes",1
158,"changes",1
159,"changes",1
160,"changes",1
161,"changes",1
162,"changes",1
163,"changes",1
164,"changes",1
165,"changes",1
166,"changes",1
167,"changes",1
168,"changes",1
169,"changes",1
170,"changes",1
171,"changes",1
172,"changes",1
173,"changes",1
174,"changes",1
175,"changes",-1
176,"changes",1
177,"changes",-1
178,"changes",1
179,"changes",1
180,"changes",1
181,"changes",1
182,"changes",-1
183,"changes",1
184,"changes",1
185,"changes",-1
186,"changes",1
187,"changes",1
188,"changes",1
189,"changes",1
190,"changes",-1
191,"changes",1
192,"changes",1
193,"changes",1
194,"changes",1
195,"changes",1
196,"changes",1
197,"changes",1
198,"changes",1
199,"changes",1
200,"changes",1
201,"changes",1
202,"changes",1
203,"changes",1
204,"changes",-1
205,"changes",-1
206,"changes",1
207,"changes",1
208,"changes",1
209,"changes",1
210,"changes",1
211,"changes",1
212,"changes",1
213,"changes",1
214,"changes",-1
215,"changes",1
216,"changes",1
217,"changes",-1
218,"changes",1
219,"changes",1
220,"changes",1
221,"changes",1
222,"changes",1
223,"changes",-1
224,"changes",1
225,"changes",1
226,"changes",1
227,"changes",1
228,"changes",-1
229,"changes",1
230,"changes",1
231,"changes",1
232,"changes",1
233,"changes",1
234,"changes",1
235,"changes",1
236,"changes",1
237,"changes",-1
238,"changes",1
239,"changes",1
240,"changes",-1
241,"changes",-1
242,"changes",1
243,"changes",1
244,"changes",1
245,"changes",1
246,"changes",1
247,"changes",1
248,"changes",-1
249,"changes",1
250,"changes",1
251,"changes",1
252,"changes",1
253,"changes",1
254,"changes",1
255,"changes",1
256,"changes",1
257,"changes",1
258,"changes",1
259,"changes",1
260,"changes",1
261,"changes",1
262,"changes",1
263,"changes",-1
264,"changes",1
265,"changes",-1
266,"changes",1
267,"changes",-1
268,"changes",-1
