"subject_id","sum_value.fit_glaze_osc_zeta_v4_mouse","sum_value.fit_glaze_osc_zeta_v4_one_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_LLR_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_Prior_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_no_amp_mouse","sum_value.fit_glaze_osc_zeta_v4_no_integration_mouse"
1,7566.20740484658,7577.9001893487,7621.15182263494,7585.55114239421,7624.32570348326,7613.87572249674
2,4010.27476806282,4027.09022831143,3983.91183119872,4039.91220917094,4054.11326334402,4063.27223654558
3,1089.8038033666,1100.97846513122,1099.02633254716,1105.95929585765,1110.88859180096,1113.46432446174
4,3356.20972859234,3368.78289701131,3460.00279332193,3381.93428696213,3392.85852847062,3420.5203945102
5,3164.1666454015,3174.35223004106,3162.36529740458,3264.81067355021,3297.43111586639,3249.87381581343
6,2790.14430640208,2776.04301335495,2795.07501401964,2819.8594172769,2828.72256330896,2846.55216439744
7,1214.25773411364,1219.16769556927,1218.98445682581,1231.14615201424,1241.29499110899,1251.40103730512
8,10880.6195059339,10690.3487233991,10763.5382013597,10831.5507394616,10828.5424246842,10766.0229047081
9,5438.47594441579,5412.19793665022,5437.92441576866,5486.8760649549,5493.5536559468,5505.82379158795
11,6178.97344367613,6170.23507289519,6219.19492682365,6227.22433421119,6282.85220821542,6261.48472648318
13,3891.46783439462,3894.0671365648,3904.95788299934,3921.93959184555,3927.19294756946,3931.78110281493
14,14223.9509909311,14277.3021727127,14419.7122648084,14319.3643869299,14426.0385204643,14386.8521807563
16,6015.20724185437,6025.75310423517,6033.14011344857,6046.15267784423,6054.51938907658,6066.14869153421
18,6756.96997918125,6770.60954385291,6786.4064045746,6812.68837926457,6954.18384186469,6844.78196347424
19,7309.4318487317,7319.33228781853,7345.45131796233,7382.45240098641,7404.50632861205,7377.83028703981
20,7068.20329295938,7060.82273410025,7200.47638466573,7091.10500338714,7197.71481282516,7108.43313298554
21,9537.61972124198,9599.34224405331,9558.01402895279,9701.06315674659,9745.26794625737,9619.67975378493
22,2714.5343766547,2726.94628942831,2700.99065578764,2757.68954009913,2766.56800718677,2768.41266418197
24,1265.14318050045,1272.8043618998,1283.32542624015,1288.10884955276,1289.58609924518,1301.11278468864
25,3453.61972755094,3489.31883046916,3490.51875972453,3510.58987681505,3531.94674372929,3576.33175120251
26,9058.19250032166,9052.61892122501,9132.48787871318,9168.37699926586,9277.84152718822,9220.73036221858
27,5792.239659628,5787.84033671899,5798.75801842745,5828.14223107836,5848.39563478526,5860.02166551281
28,4640.32433582289,4648.50795281936,4648.00453440208,4670.51248694564,4683.17021343792,4701.04097771604
29,6917.75060383292,6917.91999168569,6941.97204686254,6976.65852363581,6988.0526453278,7003.08891591213
31,50.063884558751,53.636034567856,44.9003446356001,48.639455926983,54.0104475460815,54.282240018913
33,3007.61948647709,3018.85023951106,3035.31861308057,3048.14096054805,3053.03772763151,3059.86332332203
34,5328.84501959452,5322.24411245495,5361.89439779334,5373.14073531345,5492.52384908088,5441.32953469156
35,3220.82497618807,3220.25763262907,3307.45826037691,3241.54993937367,3249.05122075223,3255.47031568767
36,7239.69847672689,7242.83223700289,7263.48049982038,7260.98091731902,7269.33152113224,7293.9692682763
37,2273.92903196464,2247.79061757577,2275.85758996998,2284.73730389889,2355.86558682701,2300.88779002488
38,1241.92525671466,1258.13553052685,1280.0818300446,1290.06920407421,1296.70996990477,1300.44087346133
39,699.691223817307,713.040872555149,705.218711937493,718.123263453955,721.658652764178,725.541777972156
40,1529.58090784772,1492.91465969009,1537.74675334273,1549.2872787976,1577.68040570838,1572.77987494576
41,2056.11415997418,2069.31094467684,2152.06321581097,2213.32144493627,2233.17789396999,2249.35032924869
44,863.067190521135,865.856044454694,945.588345668877,883.331632526307,972.349626798424,892.280142773031
45,2899.11570861678,2892.11370597413,2912.64373125787,2911.12511578045,2931.84157359952,2940.66560056701
46,408.67871848526,409.279345472259,406.480886365688,404.998662214896,407.066899444262,407.970974360153
48,2900.09445623103,2901.40375569911,3007.42390221215,2949.17532767133,3038.60920490429,2968.06404666937
49,5550.36048799568,5529.07760019143,5672.1204004907,5574.70460399496,5739.40776641394,5610.88933375244
50,1328.33848398635,1344.68250007319,1511.74370125867,1398.67444032059,1572.1953582573,1353.87298152889
52,1453.28962788229,1471.24256652286,1458.54663901096,1477.66116408781,1480.91908573354,1492.89258063802
53,2034.40982205857,2039.22971861462,2036.09412992553,2033.82861912101,2038.79312384992,2051.51743074168
54,1404.72724443143,1412.2116324262,1407.57543517388,1410.78618163795,1416.44522099266,1418.51931957214
56,2685.7041360523,2673.67156947085,2667.31216833046,2712.92374150374,2718.46953176939,2728.14174383042
57,456.248352173249,457.354835702179,456.221590071499,457.110307765483,456.963786520524,462.806585439569
58,4130.70249789937,4116.04978693276,4108.72511401555,4142.54664416993,4158.34034553748,4168.27832777079
59,3364.87802422802,3368.04436801627,3340.27305710377,3388.69967419016,3399.43283637602,3385.80762131336
60,1475.82523482563,1495.17880847173,1505.46321639179,1518.69406010334,1523.67541148604,1531.44475624691
61,4791.48834859727,4794.15142473099,4798.45606285711,4821.07244622713,4832.79676376623,4836.49757918548
62,5329.03796405384,5352.11481764418,5477.79529521203,5382.65132303015,5403.59235557905,5420.26468528089
63,12639.1563998789,12587.5384391477,12524.6238994367,12581.3814312191,12596.8987236591,12630.4334930912
64,2388.85076287536,2408.83836374742,2409.44872845681,2421.62008517627,2451.93140908126,2444.20501778829
65,4712.88332928885,4721.8618382528,4715.31449249857,4726.12834768027,4739.05959693865,4795.02485552323
66,1677.49860079999,1654.44564458462,1668.68235880928,1663.12246555339,1668.80623026965,1679.06350837814
67,5160.84003577574,5227.56401144384,5225.86533960633,5246.39200540011,5345.51782447013,5258.34921823752
68,425.075526527045,424.143098537067,426.147739065721,422.228379969967,426.148091535292,429.118594032384
69,687.906896774986,699.320827288582,785.130854710056,700.101897856873,795.503113473033,701.713862105735
70,4030.54935081085,4036.25354355217,4036.18430126391,4056.63914358773,4079.70217883956,4109.20005659277
71,6287.59210082919,6271.97784978061,6324.56944106585,6321.05537565813,6498.77424500468,6405.65057811065
72,1480.4432343495,1489.51243290451,1488.6424194906,1500.10351645511,1501.42817396237,1504.59369981318
74,9675.73998404656,9723.66711955277,9718.27235873244,9696.31094053793,9708.0143005981,9739.76141705744
75,3972.4483854562,3959.04705142534,4046.12994124736,4144.51324788736,4069.42840058376,4015.72209531541
77,2008.15344954246,2026.17971011523,2026.27103797465,2030.40689461011,2032.43986395544,2044.7313242301
78,2822.93053060134,2829.31061955107,2832.33734052463,2938.2503251536,2873.81760390604,2893.25289948533
80,1458.0083257419,1463.44889045559,1468.62009644568,1475.74506127039,1478.33288751756,1489.08481574056
81,1077.69088036886,1084.96451357766,1087.64730038107,1098.95913462505,1102.14120472525,1103.13141837669
82,990.838004005061,985.23003186938,975.457877879159,988.96657733982,994.478946237105,996.374095314471
83,1011.93965036692,1012.44653156958,1004.17445045742,1030.07651093744,1031.36709264749,1039.93865626889
84,5302.82606444654,5316.92405136369,5314.84476838424,5368.22878572445,5384.75269993591,5410.70105853592
85,2807.36225687586,2832.83440170744,2829.7898816225,2931.24462456779,2860.22255659706,2864.99694632381
86,4324.34727677667,4322.86112779943,4539.43609764932,4378.31474933143,4606.84139593757,4400.76044354559
87,3120.95022992993,3172.54642037602,3115.92401004052,3149.64155600997,3156.21245095496,3169.04747993571
88,4061.52721864875,4079.23136696677,4249.3457212428,4187.1369965985,4338.90422319762,4227.34932324651
89,3246.78922026815,3261.41566208887,3262.19832448215,3276.25832538932,3283.75711693176,3307.16568873643
90,12990.1578640387,12983.7227394491,13133.8115918254,13094.7665541453,13221.116750178,13153.7075341791
91,1612.89250175171,1617.95086587769,1623.78116219722,1630.996824391,1640.46852982194,1647.22891373009
94,4057.46352340414,4028.20749682117,4040.51122318753,4034.6699043145,4059.76813647083,4068.92429992872
96,6584.42287092412,6590.43329724911,6602.04291137864,6606.96538828742,6629.0668592196,6644.76173665751
