"amp_on","amp","feedback_level","Variable","subject_id","Mean","Error"
0,1,0.6,"Accuracy",1,0.7745,0.00934711502441474
0,1,0.6,"H",1,0.137013113619901,0.00257651844164343
0,1,0.6,"P",1,0.113981510837183,0.00153588282161332
1,1,0.6,"Accuracy",1,0.7685,0.00943389496375137
1,1,0.6,"H",1,0.141112238811935,0.00251293392459884
1,1,0.6,"P",1,0.103436907860646,0.00136526319071235
0,1,0.6,"Accuracy",2,0.819,0.00861142138610953
0,1,0.6,"H",2,0.170372326623636,0.00291803351791287
0,1,0.6,"P",2,0.118054270185989,0.00130839515337868
1,1,0.6,"Accuracy",2,0.8075,0.00881820590470016
1,1,0.6,"H",2,0.166957988775994,0.00286712112799571
1,1,0.6,"P",2,0.112101304137671,0.00118022291433919
0,1,0.6,"Accuracy",3,0.84,0.00819961077176254
0,1,0.6,"H",3,0.17876429885151,0.00333636407349564
0,1,0.6,"P",3,0.104730579491375,9.5526162876917e-04
1,1,0.6,"Accuracy",3,0.832,0.00836199506581655
1,1,0.6,"H",3,0.157856798397847,0.00300050034772805
1,1,0.6,"P",3,0.0946207248870824,8.93445424869049e-04
0,1,0.6,"Accuracy",4,0.798,0.00897988413954099
0,1,0.6,"H",4,0.18960237116215,0.00346532230967423
0,1,0.6,"P",4,0.105957310197439,0.00158020381031696
1,1,0.6,"Accuracy",4,0.771,0.00939806691989983
1,1,0.6,"H",4,0.190526353331611,0.00338237853112252
1,1,0.6,"P",4,0.106295598317119,0.0015420069275469
0,1,0.6,"Accuracy",5,0.8475,0.00804078367455875
0,1,0.6,"H",5,0.124152486095278,0.00233128440270934
0,1,0.6,"P",5,0.104384680665432,0.0012227328503878
1,1,0.6,"Accuracy",5,0.8355,0.00829181838477321
1,1,0.6,"H",5,0.123715151331955,0.00261322719323893
1,1,0.6,"P",5,0.102741691392212,0.0012022040694799
0,1,0.6,"Accuracy",6,0.8745,0.00740961039212465
0,1,0.6,"H",6,0.17196620514831,0.00293152647469867
0,1,0.6,"P",6,0.103246492461516,0.00109356043061084
1,1,0.6,"Accuracy",6,0.8465,0.00806234306438543
1,1,0.6,"H",6,0.154262873443721,0.00288150429070419
1,1,0.6,"P",6,0.108325645497759,0.00105326068804987
0,1,0.6,"Accuracy",7,0.8535,0.00790886528365716
0,1,0.6,"H",7,0.107536027395046,0.00215095844776298
0,1,0.6,"P",7,0.0931368714050574,0.00103573822781766
1,1,0.6,"Accuracy",7,0.838,0.00824087106912789
1,1,0.6,"H",7,0.118649695666977,0.00242533219204818
1,1,0.6,"P",7,0.0967877133285352,0.00132343885612797
0,1,0.6,"Accuracy",8,0.844,0.00811572131521488
0,1,0.6,"H",8,0.126303504934812,0.00231269367924211
0,1,0.6,"P",8,0.0988256005780673,0.00140029891466064
1,1,0.6,"Accuracy",8,0.8295,0.00841131678900887
1,1,0.6,"H",8,0.129487912694018,0.00245815629058563
1,1,0.6,"P",8,0.0974687547444145,0.00137708771768501
0,1,0.6,"Accuracy",9,0.853,0.00792002925699873
0,1,0.6,"H",9,0.119561583467647,0.00205318054099678
0,1,0.6,"P",9,0.0900112680360224,0.0011327545376913
1,1,0.6,"Accuracy",9,0.8215,0.00856478562349276
1,1,0.6,"H",9,0.113871413100925,0.00207944614141665
1,1,0.6,"P",9,0.0958526248798255,0.00113414359505151
0,1,0.6,"Accuracy",10,0.876,0.00737151067182246
0,1,0.6,"H",10,0.142364112840316,0.00256252385346701
0,1,0.6,"P",10,0.0915518461602688,0.00112781553191059
1,1,0.6,"Accuracy",10,0.86,0.00776080634067935
1,1,0.6,"H",10,0.138268509178426,0.00226729754922167
1,1,0.6,"P",10,0.0904785235021772,0.00106339739075741
0,1,0.6,"Accuracy",11,0.8795,0.00728123500455766
0,1,0.6,"H",11,0.131002831295028,0.00272610991632073
0,1,0.6,"P",11,0.0851098267419593,0.00122438008769068
1,1,0.6,"Accuracy",11,0.854,0.00789766969385886
1,1,0.6,"H",11,0.131350488120715,0.00288064736079722
1,1,0.6,"P",11,0.0910477696814058,0.00132350571762364
0,1,0.6,"Accuracy",12,0.8165,0.00865744481214507
0,1,0.6,"H",12,0.132222891027259,0.00260172151412118
0,1,0.6,"P",12,0.103903718799689,0.0011690833044184
1,1,0.6,"Accuracy",12,0.8145,0.00869382921002975
1,1,0.6,"H",12,0.121211407292209,0.00240177877050883
1,1,0.6,"P",12,0.0906119793563643,0.00128028928032269
0,1,0.6,"Accuracy",13,0.824,0.00851752746617635
0,1,0.6,"H",13,0.179161345155524,0.00302604458990861
0,1,0.6,"P",13,0.104957535198537,0.00133889461597366
1,1,0.6,"Accuracy",13,0.822,0.00855538411169536
1,1,0.6,"H",13,0.187311994454388,0.00298880812367119
1,1,0.6,"P",13,0.0903713313991941,0.00135487214399914
0,1,0.6,"Accuracy",14,0.848,0.00802995891148018
0,1,0.6,"H",14,0.129968533499487,0.00250389742277034
0,1,0.6,"P",14,0.0959766758232252,0.00114389132448053
1,1,0.6,"Accuracy",14,0.8115,0.00874769318552234
1,1,0.6,"H",14,0.139522630829811,0.00255149533234203
1,1,0.6,"P",14,0.101890903570884,0.00123733936866952
0,1,0.6,"Accuracy",15,0.814,0.00870286561627648
0,1,0.6,"H",15,0.169647105311603,0.00288900631163314
0,1,0.6,"P",15,0.107198275929236,0.00131658566298533
1,1,0.6,"Accuracy",15,0.8165,0.00865744481214507
