"amp_on","amp","feedback_level","Variable","subject_id","Mean","Error"
0,0.5,0,"Accuracy",13,0.8375,0.00825111601286328
0,0.5,0,"Accuracy",14,0.837,0.00826133311351178
0,0.5,0,"Accuracy",16,0.8695,0.00753413940860628
0,0.5,0,"Accuracy",19,0.854,0.00789766969385886
0,0.5,0,"Accuracy",22,0.813,0.00872086731715267
0,0.5,0,"Accuracy",33,0.8545,0.00788644235295569
0,0.5,0,"Accuracy",38,0.849,0.0080082186398032
0,0.5,0,"Accuracy",43,0.8385,0.00823059817833349
0,0.5,0,"Accuracy",49,0.849,0.0080082186398032
0,0.5,0,"Accuracy",57,0.9125,0.00631995616463924
0,0.5,0,"Accuracy",61,0.8855,0.00712181403278398
0,0.5,0,"Accuracy",63,0.871,0.00749717305401849
0,0.5,0,"Accuracy",64,0.871,0.00749717305401849
0,0.5,0,"Accuracy",79,0.85,0.00798635655010924
0,0.5,0,"Accuracy",87,0.866,0.00761912235843187
0,0.5,0,"Accuracy",88,0.8425,0.00814739621182843
0,0.5,0,"Accuracy",103,0.8775,0.00733305951707338
0,0.5,0,"Accuracy",106,0.8705,0.00750953204505899
0,0.5,0,"Accuracy",107,0.8535,0.00790886528365716
0,0.5,0,"Accuracy",125,0.858,0.00780695038008559
0,0.5,0,"Accuracy",126,0.8415,0.00816836802048359
0,0.5,0,"Accuracy",127,0.851,0.00796437163923205
0,0.5,0,"Accuracy",129,0.863,0.00769058336774709
0,0.5,0,"Accuracy",131,0.8665,0.00760708938454467
0,0.5,0,"Accuracy",134,0.864,0.00766690228810487
0,0.5,0,"Accuracy",138,0.8655,0.00763111996996496
0,0.5,0,"Accuracy",154,0.859,0.00778394468746077
0,0.5,0,"Accuracy",163,0.86,0.00776080634067935
0,0.5,0,"Accuracy",165,0.8735,0.00743481763438945
0,0.5,0,"Accuracy",166,0.862,0.00771412690308751
0,0.5,0,"Accuracy",172,0.8895,0.00701209381924293
0,0.5,0,"Accuracy",173,0.862,0.00771412690308751
0,0.5,0,"Accuracy",177,0.84,0.00819961077176254
0,0.5,0,"Accuracy",180,0.888,0.00705357189218477
0,0.5,0,"Accuracy",182,0.8285,0.00843086085209296
0,0.5,0,"Accuracy",184,0.851,0.00796437163923205
0,0.5,0,"Accuracy",188,0.877,0.00734591595654486
0,0.5,0,"Accuracy",198,0.8895,0.00701209381924293
0,0.5,0,"Accuracy",206,0.857,0.00782982458785242
0,0.5,0,"Accuracy",215,0.838,0.00824087106912789
0,0.5,0,"Accuracy",216,0.8535,0.00790886528365716
0,0.5,0,"Accuracy",217,0.869,0.00754638814181947
0,0.5,0,"Accuracy",219,0.861,0.00773753414967318
0,0.5,0,"Accuracy",221,0.861,0.00773753414967318
0,0.5,0,"Accuracy",224,0.888,0.00705357189218477
0,0.5,0,"Accuracy",225,0.8715,0.0074847769467748
0,0.5,0,"Accuracy",226,0.886,0.00710825320538147
0,0.5,0,"Accuracy",229,0.8275,0.00845030051473879
0,0.5,0,"Accuracy",246,0.884,0.00716223769672665
0,0.5,0,"Accuracy",250,0.859,0.00778394468746077
0,0.5,0,"Accuracy",260,0.8675,0.00758291667583499
0,0.5,0,"Accuracy",279,0.8715,0.0074847769467748
0,0.5,0,"Accuracy",280,0.9035,0.00660421704984177
0,0.5,0,"Accuracy",281,0.8395,0.00820996813565036
0,0.5,0,"Accuracy",287,0.897,0.0067984269728116
0,0.5,0,"Accuracy",289,0.8725,0.00745987264300973
0,0.5,0,"Accuracy",291,0.875,0.00739694919738634
0,0.5,0,"Accuracy",299,0.8635,0.00767876010032474
0,0.5,0,"Accuracy",302,0.85,0.00798635655010924
0,0.5,0,"Accuracy",318,0.81,0.00877430876178423
0,0.5,0,"Accuracy",322,0.885,0.00713533156049802
0,0.5,0,"Accuracy",333,0.8395,0.00820996813565036
0,0.5,0,"Accuracy",339,0.8325,0.00835205084854542
0,0.5,0,"Accuracy",347,0.8655,0.00763111996996496
0,0.5,0,"Accuracy",357,0.8475,0.00804078367455875
0,0.5,0,"Accuracy",366,0.8585,0.00779546404198075
0,0.5,0,"Accuracy",376,0.8335,0.00833208178028737
0,0.5,0,"Accuracy",378,0.9,0.00670988161263877
0,0.5,0,"Accuracy",379,0.8245,0.00850800023707199
0,0.5,0,"Accuracy",395,0.849,0.0080082186398032
0,0.5,0,"Accuracy",397,0.8395,0.00820996813565036
0,0.5,0,"Accuracy",404,0.8805,0.00725508050241679
0,0.5,0,"Accuracy",417,0.8545,0.00788644235295569
0,0.5,0,"Accuracy",420,0.838,0.00824087106912789
0,0.5,0,"Accuracy",427,0.8685,0.00755860048028802
0,0.5,0,"Accuracy",435,0.8255,0.00848886950381064
0,0.5,0,"Accuracy",439,0.8545,0.00788644235295569
0,0.5,0,"Accuracy",454,0.848,0.00802995891148018
0,0.5,0,"Accuracy",460,0.916,0.00620413133507112
0,0.5,0,"Accuracy",466,0.8855,0.00712181403278398
0,0.5,0,"Accuracy",474,0.839,0.00822029723570393
0,0.5,0,"Accuracy",478,0.875,0.00739694919738634
0,0.5,0,"Accuracy",482,0.851,0.00796437163923205
0,0.5,0,"Accuracy",486,0.869,0.00754638814181947
0,0.5,0,"Accuracy",504,0.8415,0.00816836802048359
0,0.5,0,"Accuracy",505,0.863,0.00769058336774709
0,0.5,0,"Accuracy",508,0.865,0.00764308238567249
0,0.5,0,"Accuracy",509,0.844,0.00811572131521488
0,0.5,0,"Accuracy",511,0.8635,0.00767876010032474
0,0.5,0,"Accuracy",514,0.8595,0.00777239216972613
0,0.5,0,"Accuracy",517,0.8985,0.00675438271368461
0,0.5,0,"Accuracy",522,0.859,0.00778394468746077
0,0.5,0,"Accuracy",535,0.858,0.00780695038008559
0,0.5,0,"Accuracy",537,0.8885,0.00703979078717284
0,0.5,0,"Accuracy",546,0.8715,0.0074847769467748
0,0.5,0,"Accuracy",555,0.8575,0.0078184038472926
