"Trial","Variable","Mean","Sd","Error","p"
2,"diff_acf_Stimulus",0.00853961152357713,0.0480730094315299,0.00143403046281565,"< 0.05"
3,"diff_acf_Stimulus",0.00461514337916489,0.0465317779194903,0.00138805512312604,"< 0.05"
4,"diff_acf_Stimulus",0.00525573257941002,0.046982563732564,0.00140150218200164,"< 0.05"
5,"diff_acf_Stimulus",0.00352940534854126,0.0473962974883277,0.00141384396830285,"< 0.05"
6,"diff_acf_Stimulus",0.00440432880484464,0.0467169017206901,0.00139357741460419,"< 0.05"
7,"diff_acf_Stimulus",0.00386423172445551,0.046304192575466,0.00138126619270374,"< 0.05"
8,"diff_acf_Stimulus",0.00268543685272471,0.0455692398728294,0.00135934236108237,"< 0.05"
9,"diff_acf_Stimulus",0.00134011665731134,0.0462534636387557,0.00137975293523455,"< 0.05"
10,"diff_acf_Stimulus",0.00307541261192081,0.0465589902993594,0.00138886687554511,"< 0.05"
11,"diff_acf_Stimulus",0.00312366942308213,0.0458448527496058,0.00136756396538622,"< 0.05"
12,"diff_acf_Stimulus",0.00462260698790162,0.0454800568743446,0.0013566820088784,"< 0.05"
13,"diff_acf_Stimulus",0.00296544493745319,0.0459023452284024,0.00136927898108739,"< 0.05"
14,"diff_acf_Stimulus",0.0042082837371362,0.046299935503941,0.00138113920314512,"< 0.05"
15,"diff_acf_Stimulus",0.00226351792478201,0.0455866733813288,0.00135986240720716,"< 0.05"
16,"diff_acf_Stimulus",0.00154561593099681,0.0460280597484944,0.00137302907814937,"< 0.05"
17,"diff_acf_Stimulus",9.76956760149244e-04,0.0458041551892534,0.00136634994650125,"> 0.05"
18,"diff_acf_Stimulus",0.00189618660350817,0.0454747091183051,0.00135652248391504,"< 0.05"
19,"diff_acf_Stimulus",0.0023837338178413,0.0460097008466227,0.00137248142729791,"< 0.05"
20,"diff_acf_Stimulus",0.0020997483078821,0.0452411376342748,0.00134955498536844,"< 0.05"
21,"diff_acf_Stimulus",9.00082548240953e-04,0.0454108040207093,0.00135477309861159,"< 0.05"
22,"diff_acf_Stimulus",0.00129122133473418,0.0458630089493607,0.00136826405270518,"< 0.05"
23,"diff_acf_Stimulus",0.00152333902460534,0.0448646125344342,0.00133847817610903,"< 0.05"
24,"diff_acf_Stimulus",0.00110882460867849,0.0445066706845306,0.0013277994400775,"> 0.05"
25,"diff_acf_Stimulus",0.0018611480797051,0.0449976170085159,0.00134244619401505,"< 0.05"
26,"diff_acf_Stimulus",5.75378780155533e-04,0.0456201862880369,0.00136101975002459,"> 0.05"
27,"diff_acf_Stimulus",1.97510333777516e-04,0.0445756373009425,0.00132985697062848,"> 0.05"
28,"diff_acf_Stimulus",5.87952511413606e-04,0.0456588081507064,0.00136217198376481,"> 0.05"
29,"diff_acf_Stimulus",9.58262745954937e-04,0.0446718497091078,0.0013327273444337,"> 0.05"
30,"diff_acf_Stimulus",-3.49751665775569e-06,0.0455043460277431,0.00135756380442384,"> 0.05"
31,"diff_acf_Stimulus",9.9966030734118e-04,0.0438917233615439,0.001309453275366,"> 0.05"
32,"diff_acf_Stimulus",2.14653325490956e-04,0.0450054625751885,0.00134268025643479,"> 0.05"
33,"diff_acf_Stimulus",1.91291594294407e-04,0.0446521008932666,0.00133213816384093,"> 0.05"
34,"diff_acf_Stimulus",2.29120119263371e-04,0.0442380945665898,0.00131978681604755,"> 0.05"
35,"diff_acf_Stimulus",-1.23529138187549e-04,0.0450931485531876,0.00134529625513115,"> 0.05"
36,"diff_acf_Stimulus",5.8504783797846e-04,0.0442322163493377,0.00131961144697465,"> 0.05"
37,"diff_acf_Stimulus",0.00185741100038429,0.0445852616427061,0.00133014410052178,"< 0.05"
38,"diff_acf_Stimulus",0.00138923470113636,0.0445880714315602,0.00133022792696869,"> 0.05"
39,"diff_acf_Stimulus",6.05533906044125e-04,0.0450511343100442,0.00134404281407022,"> 0.05"
40,"diff_acf_Stimulus",-6.35794729792996e-04,0.0447309969084556,0.00133449192526997,"> 0.05"
41,"diff_acf_Stimulus",-9.90365335993844e-04,0.0446275237492392,0.00133140493626906,"> 0.05"
42,"diff_acf_Stimulus",-0.001484635570131,0.044808529615571,0.00133680501415108,"> 0.05"
43,"diff_acf_Stimulus",0.00381417769220889,0.0449799480687149,0.0013419190638565,"> 0.05"
44,"diff_acf_Stimulus",0.00160180819955417,0.0446196680833153,0.00133117057255111,"< 0.05"
45,"diff_acf_Stimulus",-7.31645008509636e-04,0.0444091864381128,0.00132489112260915,"> 0.05"
46,"diff_acf_Stimulus",3.65008046622027e-04,0.0434440321785833,0.00129609698308622,"> 0.05"
47,"diff_acf_Stimulus",-1.61554662437588e-04,0.0435592982935956,0.00129953579979884,"> 0.05"
48,"diff_acf_Stimulus",8.62231528066254e-05,0.0436148057021474,0.00130119179214475,"> 0.05"
49,"diff_acf_Stimulus",0.0013013966475759,0.0427666638685506,0.0012758885682811,"> 0.05"
50,"diff_acf_Stimulus",1.11701692871962e-04,0.0429773854014453,0.00128217517496469,"> 0.05"
51,"diff_acf_Stimulus",-3.82636331723364e-04,0.0439534144206406,0.00132991219724603,"> 0.05"
52,"diff_acf_Stimulus",6.6571737829594e-04,0.0429702896469011,0.00130016548370295,"> 0.05"
53,"diff_acf_Stimulus",-7.15647918110736e-04,0.0438167453539522,0.00132577695858093,"> 0.05"
54,"diff_acf_Stimulus",-0.00130540487353361,0.0432541375811838,0.00130875395936386,"> 0.05"
55,"diff_acf_Stimulus",-3.22268060040709e-04,0.0429733341223896,0.00130025760134932,"> 0.05"
56,"diff_acf_Stimulus",-1.45068262811114e-04,0.0435501145841437,0.00131770942804654,"> 0.05"
57,"diff_acf_Stimulus",-5.90032510647922e-04,0.0435249773343819,0.00131694884242415,"> 0.05"
58,"diff_acf_Stimulus",3.37666580631167e-04,0.0435225068073071,0.00131687409091431,"> 0.05"
59,"diff_acf_Stimulus",4.06142706133101e-04,0.0439960643234182,0.00133120266868409,"> 0.05"
60,"diff_acf_Stimulus",-0.00103339845965247,0.0426902556234368,0.00129169240673367,"> 0.05"
61,"diff_acf_Stimulus",-0.00103011488026736,0.0427129821147266,0.00129238004928352,"> 0.05"
62,"diff_acf_Stimulus",4.92608588329127e-04,0.0433464644565512,0.00131154752248753,"> 0.05"
63,"diff_acf_Stimulus",-4.05381120256513e-04,0.0432712877030107,0.00130927287596005,"> 0.05"
64,"diff_acf_Stimulus",-0.00107793440618501,0.0429222224003149,0.00129871109800014,"> 0.05"
65,"diff_acf_Stimulus",-8.09553666226496e-04,0.0433615834753982,0.00131200498336605,"> 0.05"
66,"diff_acf_Stimulus",-0.00101580519206085,0.0429298792241927,0.00129894277291326,"> 0.05"
67,"diff_acf_Stimulus",-4.51252942269011e-06,0.042570784651376,0.00128823105237665,"> 0.05"
68,"diff_acf_Stimulus",-1.91558643200326e-04,0.0428073214713266,0.00129538887384943,"> 0.05"
69,"diff_acf_Stimulus",-0.00125920381283173,0.0423415434771631,0.00128129400384624,"> 0.05"
70,"diff_acf_Stimulus",-4.44954832208264e-04,0.0432082699783579,0.00130752194401461,"> 0.05"
71,"diff_acf_Stimulus",5.34414657877755e-04,0.0430305093277013,0.00130214274342101,"> 0.05"
72,"diff_acf_Stimulus",2.11559455996645e-04,0.0419017431833069,0.00126798524291947,"> 0.05"
73,"diff_acf_Stimulus",-5.92122117126119e-05,0.0427365236646515,0.00129324646717908,"> 0.05"
74,"diff_acf_Stimulus",-0.00114358593573567,0.0423344747601178,0.00128108009797457,"> 0.05"
75,"diff_acf_Stimulus",-4.21079588225889e-04,0.0422589264923178,0.00127879393798645,"> 0.05"
76,"diff_acf_Stimulus",-7.19568740436034e-04,0.0421239910494462,0.00127471066752298,"> 0.05"
77,"diff_acf_Stimulus",-5.35557630963606e-04,0.0423508390771985,0.00128157529724297,"> 0.05"
78,"diff_acf_Stimulus",-0.00124468160447516,0.0416839247613453,0.00126139385736601,"> 0.05"
79,"diff_acf_Stimulus",-5.21008647314028e-05,0.0412361799989775,0.00124784468952368,"> 0.05"
80,"diff_acf_Stimulus",-0.00191555503696876,0.041384679257625,0.00125233841351329,"> 0.05"
81,"diff_acf_Stimulus",-4.9238266640027e-04,0.0426353968644824,0.00129034008147326,"> 0.05"
82,"diff_acf_Stimulus",-0.00104786632909026,0.0416096570769906,0.00125944671047758,"> 0.05"
83,"diff_acf_Stimulus",-3.63186788482014e-04,0.0422524257270398,0.00127890211863931,"> 0.05"
84,"diff_acf_Stimulus",-1.90414085577787e-04,0.0418764950070183,0.0012675233969204,"> 0.05"
85,"diff_acf_Stimulus",0.00269781641769057,0.0418809794325689,0.00126765913211758,"> 0.05"
86,"diff_acf_Stimulus",-1.482598938215e-04,0.0413276918045835,0.00125091214759606,"> 0.05"
87,"diff_acf_Stimulus",-3.05539384821294e-04,0.040975820540855,0.00124026166074407,"> 0.05"
88,"diff_acf_Stimulus",-0.00198502065113726,0.0420731763308353,0.00127347657374749,"> 0.05"
89,"diff_acf_Stimulus",-1.12174985443529e-04,0.0416308008510533,0.00126023698071926,"> 0.05"
90,"diff_acf_Stimulus",-0.00109620858733183,0.0416414908540645,0.00126056058576272,"> 0.05"
91,"diff_acf_Stimulus",-4.47433471694628e-04,0.0413351832675986,0.00125128812066362,"> 0.05"
92,"diff_acf_Stimulus",-5.74470487331839e-04,0.0411684229897778,0.00124623999608449,"> 0.05"
93,"diff_acf_Stimulus",-3.31647108889081e-04,0.0409290934795978,0.00123899507422038,"> 0.05"
94,"diff_acf_Stimulus",3.90151250391367e-04,0.0412401704881529,0.00124841191804799,"> 0.05"
95,"diff_acf_Stimulus",-0.00191297556526407,0.0410496698099465,0.00124264513012607,"> 0.05"
96,"diff_acf_Stimulus",7.67120438092671e-04,0.0406785567085237,0.00123141088901416,"> 0.05"
97,"diff_acf_Stimulus",-7.86896277096878e-04,0.0406731665550572,0.00123139460278029,"> 0.05"
98,"diff_acf_Stimulus",-3.31688262241267e-04,0.0412117866229097,0.0012478503986717,"> 0.05"
99,"diff_acf_Stimulus",-0.00149352926965248,0.0410685247528735,0.00124351257698794,"> 0.05"
2,"diff_acf_History",0.0243213762293795,0.049517511563822,0.00147712033977164,"< 0.05"
3,"diff_acf_History",0.00807655426471956,0.0485384829704809,0.00144791566040123,"< 0.05"
4,"diff_acf_History",0.00966832102320237,0.0474783802103082,0.00141629251739896,"< 0.05"
5,"diff_acf_History",0.0102231924180291,0.0475138320799217,0.00141735005595522,"< 0.05"
6,"diff_acf_History",0.0076978397483303,0.047155547646473,0.00140666233746217,"< 0.05"
7,"diff_acf_History",0.00844978510576236,0.0473516529485718,0.00141251220998846,"< 0.05"
