"Trial","Variable","Mean","Sd","Error","p"
2,"diff_acf_Stimulus",0.00853737061361147,0.0480753823929928,0.00143410124887762,"< 0.05"
3,"diff_acf_Stimulus",0.00467176362858586,0.0464816718613569,0.00138656044628794,"< 0.05"
4,"diff_acf_Stimulus",0.00525722616770249,0.0469845207753113,0.00140156056109938,"< 0.05"
5,"diff_acf_Stimulus",0.00355588225368088,0.0473738349689983,0.00141317390546778,"< 0.05"
6,"diff_acf_Stimulus",0.00440530007954099,0.0467150100611109,0.00139352098590347,"< 0.05"
7,"diff_acf_Stimulus",0.00386271906847179,0.046305748683039,0.00138131261180023,"< 0.05"
8,"diff_acf_Stimulus",0.00268532562804853,0.0455694750097744,0.00135934937527902,"< 0.05"
9,"diff_acf_Stimulus",0.00133960154867687,0.0462543906460217,0.0013797805881041,"< 0.05"
10,"diff_acf_Stimulus",0.00307186724924864,0.0465606593495773,0.00138891666375027,"< 0.05"
11,"diff_acf_Stimulus",0.00312267993779426,0.0458489271787601,0.00136768550667509,"< 0.05"
12,"diff_acf_Stimulus",0.00454160003119637,0.0455532850977345,0.00135886642596235,"< 0.05"
13,"diff_acf_Stimulus",0.00299219649119985,0.0458791699502275,0.00136858765646927,"< 0.05"
14,"diff_acf_Stimulus",0.00420727133890807,0.0463006468759039,0.0013811604235571,"< 0.05"
15,"diff_acf_Stimulus",0.00226347323952345,0.0455881959528101,0.00135990782591324,"< 0.05"
16,"diff_acf_Stimulus",0.00154594997430913,0.0460279179961967,0.00137302484964121,"< 0.05"
17,"diff_acf_Stimulus",9.76243949971133e-04,0.0458031700868653,0.00136632056063899,"> 0.05"
18,"diff_acf_Stimulus",0.00189514306668238,0.0454793714557049,0.00135666156266085,"< 0.05"
19,"diff_acf_Stimulus",0.00238318936931907,0.046014160836985,0.00137261446997859,"< 0.05"
20,"diff_acf_Stimulus",0.00210078089404975,0.045239993815595,0.00134952086495763,"< 0.05"
21,"diff_acf_Stimulus",9.25439686802331e-04,0.0453892847999098,0.00135413110025743,"< 0.05"
22,"diff_acf_Stimulus",0.00129097823642247,0.0458639414578015,0.00136829187289857,"< 0.05"
23,"diff_acf_Stimulus",0.00152253351938234,0.0448633332061686,0.00133844000899096,"< 0.05"
24,"diff_acf_Stimulus",0.00108374763001038,0.0444849152646015,0.00132715039502524,"> 0.05"
25,"diff_acf_Stimulus",0.00186102335743668,0.0449984466123888,0.00134247094418263,"< 0.05"
26,"diff_acf_Stimulus",6.0122897940907e-04,0.0455976453323367,0.00136034726952005,"> 0.05"
27,"diff_acf_Stimulus",1.69466776790158e-04,0.0446010148697538,0.00133061407784724,"> 0.05"
28,"diff_acf_Stimulus",5.86612890883926e-04,0.0456591045072812,0.00136218082518314,"> 0.05"
29,"diff_acf_Stimulus",9.5743150780123e-04,0.0446733986124091,0.00133277355397723,"> 0.05"
30,"diff_acf_Stimulus",2.04927528549267e-05,0.0455301510113604,0.00135833366301517,"> 0.05"
31,"diff_acf_Stimulus",9.99836028615441e-04,0.0438919091796787,0.00130945881901174,"> 0.05"
32,"diff_acf_Stimulus",2.41521131519171e-04,0.0449822023365136,0.00134198631704518,"> 0.05"
33,"diff_acf_Stimulus",1.92143297204753e-04,0.0446527343382816,0.00133215706186056,"> 0.05"
34,"diff_acf_Stimulus",2.29934163320661e-04,0.0441949226447553,0.0013184988371276,"> 0.05"
35,"diff_acf_Stimulus",-1.48153383170073e-04,0.0450704549239129,0.00134461921980631,"> 0.05"
36,"diff_acf_Stimulus",5.59609921457825e-04,0.0442543458677451,0.00132027165277523,"> 0.05"
37,"diff_acf_Stimulus",0.00185646924281792,0.0445845126627542,0.00133012175566548,"< 0.05"
38,"diff_acf_Stimulus",0.00136392351307434,0.044613138662335,0.00133097577565014,"> 0.05"
39,"diff_acf_Stimulus",6.06807630638749e-04,0.0450529856743877,0.00134409804715103,"> 0.05"
40,"diff_acf_Stimulus",-6.10904664571013e-04,0.044708798790774,0.00133382967289802,"> 0.05"
41,"diff_acf_Stimulus",-9.65971764380939e-04,0.0446089138286875,0.00133084973315661,"> 0.05"
42,"diff_acf_Stimulus",-0.00148416583590241,0.0448093926328313,0.00133683076116422,"> 0.05"
43,"diff_acf_Stimulus",0.00378536998166165,0.0450059170339627,0.00134269381462947,"> 0.05"
44,"diff_acf_Stimulus",0.00160106889184275,0.0446200111813411,0.00133118080844068,"< 0.05"
45,"diff_acf_Stimulus",-7.30315684267957e-04,0.0444110706130704,0.00132494733455256,"> 0.05"
46,"diff_acf_Stimulus",3.6456180347817e-04,0.0434432289733186,0.00129607302048725,"> 0.05"
47,"diff_acf_Stimulus",-1.59746371839933e-04,0.0435578297190394,0.0012994919867604,"> 0.05"
48,"diff_acf_Stimulus",8.47051435675107e-05,0.0436184048522485,0.0013012991681721,"> 0.05"
49,"diff_acf_Stimulus",0.00132493423508654,0.0427887487084747,0.00127654744115644,"< 0.05"
50,"diff_acf_Stimulus",8.70413022062461e-05,0.042952948096148,0.00128144611930199,"> 0.05"
51,"diff_acf_Stimulus",-3.82032463086124e-04,0.0439533362798443,0.00132990983291553,"> 0.05"
52,"diff_acf_Stimulus",6.40869058335489e-04,0.0429949256084721,0.00130091090169188,"> 0.05"
53,"diff_acf_Stimulus",-7.16616060146817e-04,0.0438179692290623,0.00132581398975265,"> 0.05"
54,"diff_acf_Stimulus",-0.00132937294038686,0.0432757687858324,0.00130940846148349,"> 0.05"
55,"diff_acf_Stimulus",-3.21578413621115e-04,0.0429732093886352,0.00130025382724113,"> 0.05"
56,"diff_acf_Stimulus",-1.43545465033175e-04,0.0435493484974417,0.00131768624832177,"> 0.05"
57,"diff_acf_Stimulus",-5.90658485990202e-04,0.0435237882350244,0.00131691286347325,"> 0.05"
58,"diff_acf_Stimulus",3.11258609087796e-04,0.0434994022621395,0.00131617500947012,"> 0.05"
59,"diff_acf_Stimulus",3.80148417570263e-04,0.0439726682847427,0.00133049476742973,"> 0.05"
60,"diff_acf_Stimulus",-0.00103410198891029,0.0426914909356462,0.00129172978396127,"> 0.05"
61,"diff_acf_Stimulus",-0.00103024162281882,0.0427144372477027,0.00129242407769676,"> 0.05"
62,"diff_acf_Stimulus",4.6744130334341e-04,0.043325385503829,0.00131090973002703,"> 0.05"
63,"diff_acf_Stimulus",-4.05175753251015e-04,0.0432729534563224,0.00130932327717861,"> 0.05"
64,"diff_acf_Stimulus",-0.00110368626273463,0.0428956332406112,0.00129790658148486,"> 0.05"
65,"diff_acf_Stimulus",-8.07282422638294e-04,0.0433619449628023,0.00131201592100342,"> 0.05"
66,"diff_acf_Stimulus",-0.00101362710085468,0.0429310898920364,0.00129897940446859,"> 0.05"
67,"diff_acf_Stimulus",-4.76128185748613e-06,0.0425693886484154,0.00128818880804458,"> 0.05"
68,"diff_acf_Stimulus",-1.89188529976356e-04,0.0428086847170462,0.00129543012691729,"> 0.05"
69,"diff_acf_Stimulus",-0.00125954616316218,0.0423399704488349,0.00128124640256392,"> 0.05"
70,"diff_acf_Stimulus",-4.44164251237828e-04,0.0432086267949757,0.00130753274161326,"> 0.05"
71,"diff_acf_Stimulus",5.34506268263802e-04,0.0430301858829677,0.00130213295568623,"> 0.05"
72,"diff_acf_Stimulus",2.11155381987941e-04,0.0418999978949596,0.00126793242889073,"> 0.05"
73,"diff_acf_Stimulus",-5.82606041687401e-05,0.0427365271095577,0.00129324657142511,"> 0.05"
74,"diff_acf_Stimulus",-0.00114264995983543,0.0423340521386341,0.00128106730906023,"> 0.05"
