"Trial","Variable","Mean","Sd","Error","p"
2,"diff_acf_Stimulus",0.00859271748362302,0.0478011541731588,0.00142592094925303,"< 0.05"
3,"diff_acf_Stimulus",0.00473412949396784,0.046447687854782,0.00138554669447059,"< 0.05"
4,"diff_acf_Stimulus",0.00537744067635198,0.0468392035741455,0.00139722571092655,"< 0.05"
5,"diff_acf_Stimulus",0.00353336974327202,0.0471593925367837,0.00140677703154721,"< 0.05"
6,"diff_acf_Stimulus",0.00454586119538028,0.046501257417512,0.00138714468855798,"< 0.05"
7,"diff_acf_Stimulus",0.0039644546825045,0.0461421566136261,0.00137643261752095,"< 0.05"
8,"diff_acf_Stimulus",0.00255392293822973,0.0455139700383898,0.00135769364744454,"< 0.05"
9,"diff_acf_Stimulus",0.0015146919150092,0.046201687421461,0.00137820843711122,"< 0.05"
10,"diff_acf_Stimulus",0.00306083969236876,0.0465009055376105,0.00138713419188835,"< 0.05"
11,"diff_acf_Stimulus",0.00308974232106121,0.0458157113096003,0.00136669466859802,"< 0.05"
12,"diff_acf_Stimulus",0.00448355072878488,0.0455797445907922,0.00135965571957064,"< 0.05"
13,"diff_acf_Stimulus",0.00293501539783205,0.0457303955510969,0.00136414967717562,"< 0.05"
14,"diff_acf_Stimulus",0.00414651569232884,0.0463311200560642,0.00138206944650294,"< 0.05"
15,"diff_acf_Stimulus",0.00226325213884995,0.0455114411937982,0.00135761821134801,"< 0.05"
16,"diff_acf_Stimulus",0.00154291801903841,0.0458813954394149,0.00136865404339463,"< 0.05"
17,"diff_acf_Stimulus",9.15743284215863e-04,0.0458703967639441,0.00136832595002453,"> 0.05"
18,"diff_acf_Stimulus",0.0018729205462781,0.0454761405110445,0.00135656518273537,"< 0.05"
19,"diff_acf_Stimulus",0.00227550986746747,0.0459656704046497,0.00137116798768122,"< 0.05"
20,"diff_acf_Stimulus",0.00199488660514662,0.0453242081780807,0.00135203300144834,"< 0.05"
21,"diff_acf_Stimulus",8.45793559750642e-04,0.0453852598104587,0.0013540110198592,"< 0.05"
22,"diff_acf_Stimulus",0.00133894453490241,0.0457907096038012,0.00136610709445431,"< 0.05"
23,"diff_acf_Stimulus",0.00149643313356074,0.0447607265142043,0.00133537886992927,"< 0.05"
24,"diff_acf_Stimulus",0.00103305679295663,0.044383915405789,0.00132413719376987,"> 0.05"
25,"diff_acf_Stimulus",0.00182600196613606,0.045047309119292,0.00134392869440994,"< 0.05"
26,"diff_acf_Stimulus",5.76259306464358e-04,0.0456817629371235,0.00136285681037805,"> 0.05"
27,"diff_acf_Stimulus",1.65720128317132e-04,0.0445344617224636,0.00132862855005223,"> 0.05"
28,"diff_acf_Stimulus",7.35898545039087e-04,0.0455386499262552,0.0013585872172412,"> 0.05"
29,"diff_acf_Stimulus",0.00110632109888059,0.0445607231879216,0.00132941202719385,"> 0.05"
30,"diff_acf_Stimulus",9.04480131564123e-05,0.0454172771593215,0.00135496621640028,"> 0.05"
31,"diff_acf_Stimulus",8.89688160890462e-04,0.0438688433693385,0.00130877068014214,"> 0.05"
32,"diff_acf_Stimulus",1.84937427562852e-04,0.0449575249749327,0.00134125009961112,"> 0.05"
33,"diff_acf_Stimulus",2.42289302111667e-04,0.044592685811635,0.00133036559108028,"> 0.05"
34,"diff_acf_Stimulus",2.8162396056538e-04,0.044126949504455,0.00131647094566228,"> 0.05"
35,"diff_acf_Stimulus",-1.4093673534116e-04,0.0449407579663582,0.00134074987741398,"> 0.05"
36,"diff_acf_Stimulus",3.96666173718886e-04,0.0442217321058041,0.00131929866301486,"> 0.05"
37,"diff_acf_Stimulus",0.00180553389559274,0.0445117614688638,0.00132795131709915,"< 0.05"
38,"diff_acf_Stimulus",0.00117074804335908,0.0445368482058073,0.00132869974772213,"> 0.05"
39,"diff_acf_Stimulus",4.03826505199885e-04,0.0451065440311933,0.00134569589203775,"> 0.05"
40,"diff_acf_Stimulus",-7.69029034145818e-04,0.0445555377861843,0.00132925732738329,"> 0.05"
41,"diff_acf_Stimulus",-0.00111707718515604,0.0445290749871294,0.00132846784371203,"> 0.05"
42,"diff_acf_Stimulus",-0.00143850106862376,0.0446619884855401,0.00133243314747558,"> 0.05"
43,"diff_acf_Stimulus",0.00381869477358901,0.0448618790526905,0.0013383966261869,"> 0.05"
44,"diff_acf_Stimulus",0.00160722103437841,0.0445904695069591,0.00133029947047268,"< 0.05"
45,"diff_acf_Stimulus",-7.15479758274482e-04,0.044360127295795,0.00132342750601644,"> 0.05"
46,"diff_acf_Stimulus",3.09921015322021e-04,0.0434200850863366,0.00129538255230118,"> 0.05"
47,"diff_acf_Stimulus",-2.81870852542404e-04,0.0434474348053429,0.00129619849609172,"> 0.05"
48,"diff_acf_Stimulus",1.30726202178026e-04,0.0434934214515363,0.00129757044870304,"> 0.05"
49,"diff_acf_Stimulus",0.00113012664929,0.0426743520886795,0.00127313456471849,"> 0.05"
50,"diff_acf_Stimulus",5.70416682279753e-05,0.0429027004832187,0.0012799470462128,"> 0.05"
51,"diff_acf_Stimulus",-5.67306912261369e-04,0.0439415221506703,0.00132955236911675,"> 0.05"
52,"diff_acf_Stimulus",5.57513297729196e-04,0.0428393865672227,0.00129620470830891,"> 0.05"
53,"diff_acf_Stimulus",-8.22516648491992e-04,0.0436349820501758,0.0013202772894906,"> 0.05"
54,"diff_acf_Stimulus",-0.00130026696760952,0.0432254498220212,0.00130788594486886,"> 0.05"
55,"diff_acf_Stimulus",-2.75886358337041e-04,0.0429481197105186,0.00129949468100888,"> 0.05"
56,"diff_acf_Stimulus",-2.22344609184053e-05,0.043320896421574,0.00131077390246224,"> 0.05"
57,"diff_acf_Stimulus",-4.99208496862886e-04,0.0433090277672049,0.00131041478887758,"> 0.05"
