"","p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
"L-BFGS-B",0.585528692669576,2.52291963157609,1.05082691494073,0.263072653182282,0.0447608318764443,3.03547040362893,0.999050027265154,280.942829269528,63,63,NA,0,FALSE,FALSE,26.0599999999977,1,30,583,7,"fit_glaze_osc_zeta_v4_mouse",575.885658539057,576.080441147753
"L-BFGS-B1",0.466843340991963,2.30743074473785,1.02587172603972,0,0.0518518423397679,2.73471562561695,0.999,449.463206603249,78,78,NA,0,FALSE,FALSE,48.8099999999977,1,43,885,7,"fit_glaze_osc_zeta_v4_mouse",912.926413206497,913.054121302278
"L-BFGS-B2",0.567361041927285,5.93059938730814,1.03838456845456,0.998913199718673,0.175667826279076,3.17994849202782,0.999,259.781935996013,60,60,NA,0,FALSE,FALSE,20.5099999999948,1,45,500,7,"fit_glaze_osc_zeta_v4_mouse",533.563871992027,533.79151426845
"L-BFGS-B3",0.475655134385878,2.90434516067239,0.999875109479566,0.667456333008161,0.0426855299549881,3.07281783701657,0.999,367.633579098648,53,53,NA,0,FALSE,FALSE,21.6600000000035,1,48,597,7,"fit_glaze_osc_zeta_v4_mouse",749.267158197297,749.457310998655
"L-BFGS-B4",0.458663891597838,3.74797191757054,1.04439565136957,0.536312801660178,0.0696377125747967,3.1831893161436,0.999,410.61213120219,58,58,NA,0,FALSE,FALSE,28.3299999999872,1,49,708,7,"fit_glaze_osc_zeta_v4_mouse",835.22426240438,835.38426240438
"L-BFGS-B5",0.63422147147295,5.4219685667746,1.10659020215108,1.20047794389959,0.2,2.05928498018259,1.001,390.700168582023,124,124,NA,1,FALSE,TRUE,60.5299999999988,1,53,693,7,"fit_glaze_osc_zeta_v4_mouse",795.400337164047,795.563840813682
"L-BFGS-B6",0.461586108747769,3.79790187860944,1.00959570342063,0.996937366310811,0.0451752387301047,3.13947670691103,0.999,582.647038346772,38,38,NA,0,FALSE,FALSE,27.7600000000093,1,54,998,7,"fit_glaze_osc_zeta_v4_mouse",1179.29407669354,1179.40720800668
"L-BFGS-B7",0.530364298973214,3.0497984461591,1.13589013812123,0.862137365283193,0.2,1.86729031753798,1.001,273.154179515031,112,112,NA,1,FALSE,TRUE,33.6600000000035,1,55,445,7,"fit_glaze_osc_zeta_v4_mouse",560.308359030062,560.564651936241
"L-BFGS-B8",0.653429447940148,2.97329541032905,0.712462362739566,0,0.2,2.75432069757587,1.001,490.114295205721,111,111,NA,1,FALSE,TRUE,67.1200000000099,1,56,860,7,"fit_glaze_osc_zeta_v4_mouse",994.228590411442,994.360045810503
"L-BFGS-B9",0.640980587397763,2.46067446804053,1.55091407240045,6.7467715507778,0.197021821410828,4.1456003751421,0.999002390845996,493.146762987077,55,55,NA,0,FALSE,FALSE,29.570000000007,1,57,788,7,"fit_glaze_osc_zeta_v4_mouse",1000.29352597415,1000.43711571774
"L-BFGS-B10",0.456922514353484,3.47001549650127,2.52341585999282,0.246177494246339,0.2,4.83253146344228,1.001,404.694968034865,113,113,NA,1,FALSE,FALSE,55.5699999999924,1,58,722,7,"fit_glaze_osc_zeta_v4_mouse",823.38993606973,823.546798814828
